Generation started.
{'data_name': 'snort-clean', 'error count': 1091, 'total regex': 1254, 'generatable regex': 169, 'unique regex': 108, 'max regex len': 51}
{'data_name': 'practical_regexes_49', 'error count': 8562, 'total regex': 10000, 'generatable regex': 1486, 'unique regex': 1242, 'max regex len': 1866}
{'data_name': 'practical_regexes_38', 'error count': 8571, 'total regex': 10000, 'generatable regex': 1485, 'unique regex': 1275, 'max regex len': 1837}
{'data_name': 'practical_regexes_42', 'error count': 8582, 'total regex': 10000, 'generatable regex': 1464, 'unique regex': 1215, 'max regex len': 3262}
{'data_name': 'practical_regexes_01', 'error count': 8587, 'total regex': 10001, 'generatable regex': 1456, 'unique regex': 1249, 'max regex len': 4609}
{'data_name': 'practical_regexes_41', 'error count': 8617, 'total regex': 10000, 'generatable regex': 1417, 'unique regex': 1177, 'max regex len': 3269}
{'data_name': 'practical_regexes_50', 'error count': 8654, 'total regex': 10000, 'generatable regex': 1390, 'unique regex': 1181, 'max regex len': 5358}
{'data_name': 'practical_regexes_25', 'error count': 8618, 'total regex': 10000, 'generatable regex': 1437, 'unique regex': 1206, 'max regex len': 3269}
{'data_name': 'practical_regexes_26', 'error count': 8605, 'total regex': 10000, 'generatable regex': 1434, 'unique regex': 1180, 'max regex len': 4212}
{'data_name': 'practical_regexes_27', 'error count': 8565, 'total regex': 10000, 'generatable regex': 1480, 'unique regex': 1239, 'max regex len': 2039}
{'data_name': 'practical_regexes_05', 'error count': 8599, 'total regex': 10000, 'generatable regex': 1449, 'unique regex': 1232, 'max regex len': 3717}
{'data_name': 'practical_regexes_31', 'error count': 8535, 'total regex': 10000, 'generatable regex': 1512, 'unique regex': 1262, 'max regex len': 4462}
{'data_name': 'practical_regexes_46', 'error count': 8610, 'total regex': 10000, 'generatable regex': 1451, 'unique regex': 1224, 'max regex len': 11154}
{'data_name': 'practical_regexes_09', 'error count': 8586, 'total regex': 10000, 'generatable regex': 1462, 'unique regex': 1221, 'max regex len': 9099}
{'data_name': 'practical_regexes_37', 'error count': 8615, 'total regex': 10000, 'generatable regex': 1428, 'unique regex': 1205, 'max regex len': 4999}
{'data_name': 'practical_regexes_29', 'error count': 8547, 'total regex': 10000, 'generatable regex': 1499, 'unique regex': 1287, 'max regex len': 4595}
{'data_name': 'practical_regexes_02', 'error count': 8598, 'total regex': 10000, 'generatable regex': 1455, 'unique regex': 1251, 'max regex len': 4847}
{'data_name': 'practical_regexes_44', 'error count': 8561, 'total regex': 10000, 'generatable regex': 1485, 'unique regex': 1234, 'max regex len': 4999}
{'data_name': 'practical_regexes_52', 'error count': 8571, 'total regex': 10000, 'generatable regex': 1481, 'unique regex': 1235, 'max regex len': 6527}
{'data_name': 'practical_regexes_28', 'error count': 8603, 'total regex': 10000, 'generatable regex': 1448, 'unique regex': 1186, 'max regex len': 8260}
{'data_name': 'practical_regexes_20', 'error count': 8591, 'total regex': 10000, 'generatable regex': 1463, 'unique regex': 1251, 'max regex len': 2327}
{'data_name': 'practical_regexes_53', 'error count': 8596, 'total regex': 10000, 'generatable regex': 1453, 'unique regex': 1234, 'max regex len': 7705}
{'data_name': 'practical_regexes_43', 'error count': 8611, 'total regex': 10000, 'generatable regex': 1439, 'unique regex': 1188, 'max regex len': 11145}
{'data_name': 'practical_regexes_14', 'error count': 8651, 'total regex': 10000, 'generatable regex': 1396, 'unique regex': 1184, 'max regex len': 21226}
{'data_name': 'practical_regexes_23', 'error count': 8610, 'total regex': 10000, 'generatable regex': 1447, 'unique regex': 1200, 'max regex len': 10186}
{'data_name': 'practical_regexes_16', 'error count': 8617, 'total regex': 10000, 'generatable regex': 1420, 'unique regex': 1205, 'max regex len': 11879}
{'data_name': 'practical_regexes_19', 'error count': 8612, 'total regex': 10000, 'generatable regex': 1436, 'unique regex': 1192, 'max regex len': 13407}
{'data_name': 'practical_regexes_45', 'error count': 8591, 'total regex': 10000, 'generatable regex': 1455, 'unique regex': 1216, 'max regex len': 14327}
{'data_name': 'practical_regexes_10', 'error count': 8589, 'total regex': 10000, 'generatable regex': 1463, 'unique regex': 1258, 'max regex len': 6527}
{'data_name': 'practical_regexes_35', 'error count': 8546, 'total regex': 10000, 'generatable regex': 1510, 'unique regex': 1287, 'max regex len': 14234}
{'data_name': 'practical_regexes_04', 'error count': 8537, 'total regex': 10000, 'generatable regex': 1519, 'unique regex': 1256, 'max regex len': 10570}
{'data_name': 'practical_regexes_39', 'error count': 8618, 'total regex': 10000, 'generatable regex': 1437, 'unique regex': 1185, 'max regex len': 19947}
{'data_name': 'practical_regexes_32', 'error count': 8555, 'total regex': 10000, 'generatable regex': 1493, 'unique regex': 1256, 'max regex len': 18692}
{'data_name': 'practical_regexes_15', 'error count': 8586, 'total regex': 10000, 'generatable regex': 1467, 'unique regex': 1227, 'max regex len': 16697}
{'data_name': 'practical_regexes_36', 'error count': 8555, 'total regex': 10000, 'generatable regex': 1476, 'unique regex': 1235, 'max regex len': 18692}
{'data_name': 'practical_regexes_12', 'error count': 8645, 'total regex': 10000, 'generatable regex': 1405, 'unique regex': 1190, 'max regex len': 24148}
{'data_name': 'practical_regexes_24', 'error count': 8684, 'total regex': 10000, 'generatable regex': 1367, 'unique regex': 1165, 'max regex len': 15731}
Generation completed, Integration started.
Integration completed.
